note_id,product_model,serial_number,date,symptom_text,fix_text,tag,_true_theme_for_validation_only
RET-00390,Model-A100,SN-A10-00390,2025-10-26,Clicking sound heard during startup. Reach out at rahul.sharma@example.com for follow-up.,Tightened loose internal bracket causing rattle.,unusual_noise,Unusual Noise
RET-00391,Model-A100,SN-A10-00391,2026-03-20,Rattling noise when device is moved.,Replaced noisy fan assembly.,,Unusual Noise
RET-00392,Model-A100,SN-A10-00392,2025-10-04,Battery percentage drops from 100 to 0 in minutes.,Replaced charging circuit board.,battery_drain,Battery Drain
RET-00393,Model-C300,SN-C30-00393,2026-04-18,Display is completely blank but unit powers on.,Replaced display panel assembly.,,Display Fault
RET-00394,Model-C300,SN-C30-00394,2026-02-17,Touchscreen not responding in bottom half of screen.,Replaced touch digitizer.,,Display Fault
RET-00395,Model-C300,SN-C30-00395,2026-05-24,Thermal shutdown triggered repeatedly under light load.,Cleaned dust from heat sink and fan assembly.,,Overheating
RET-00396,Model-A100,SN-A10-00396,2026-03-27,Display is completely blank but unit powers on.,Replaced touch digitizer.,,Display Fault
RET-00397,Model-C300,SN-C30-00397,2025-11-24,App crashes repeatedly on startup.,Rolled back faulty software update.,,Software Crash
RET-00398,Model-B200,SN-B20-00398,2026-06-24,Loud grinding noise coming from internal fan.,Tightened loose internal bracket causing rattle.,unusual_noise,Unusual Noise
RET-00399,Model-B200,SN-B20-00399,2025-11-25,Rattling noise when device is moved. Reach out at rahul.sharma@example.com for follow-up.,Replaced coil on power board causing whine.,,Unusual Noise
RET-00400,Model-B200,SN-B20-00400,2026-06-30,"Customer reports unit was dropped, casing damaged.",Replaced outer housing.,,Physical Damage
RET-00401,Model-B200,SN-B20-00401,2026-02-17,Customer reports intermittent loss of network signal.,Updated network driver firmware.,connectivity_issue,Connectivity Issue
RET-00402,Model-B200,SN-B20-00402,2025-08-17,"Housing cracked near hinge, likely from a drop. Contact: +91-98765-43210.",Replaced outer housing.,physical_damage,Physical Damage
RET-00403,Model-A100,SN-A10-00403,2025-12-11,Loud grinding noise coming from internal fan.,Tightened loose internal bracket causing rattle.,,Unusual Noise
RET-00404,Model-A100,SN-A10-00404,2026-05-12,Customer reports intermittent loss of network signal.,Replaced WiFi/Bluetooth module.,connectivity_issue,Connectivity Issue
RET-00405,Model-B200,SN-B20-00405,2026-07-06,"Flickering screen, gets worse when device is warm.",Replaced touch digitizer.,,Display Fault
RET-00406,Model-B200,SN-B20-00406,2026-07-29,Unit overheats and shuts down after 20 minutes of operation. Reach out at rahul.sharma@example.com for follow-up.,"Replaced temperature sensor, false trips resolved.",,Overheating
RET-00407,Model-B200,SN-B20-00407,2026-07-28,"No power, LED does not light up when plugged in.",Replaced power supply board.,no_power,No Power
RET-00408,Model-A100,SN-A10-00408,2026-06-26,Customer Rahul Sharma reported: Clicking sound heard during startup.,Tightened loose internal bracket causing rattle.,unusual_noise,Unusual Noise
RET-00409,Model-B200,SN-B20-00409,2026-01-18,Display is completely blank but unit powers on. Reach out at rahul.sharma@example.com for follow-up.,Reseated display ribbon cable.,,Display Fault
RET-00410,Model-A100,SN-A10-00410,2026-02-03,Clicking sound heard during startup.,Replaced coil on power board causing whine.,,Unusual Noise
RET-00411,Model-C300,SN-C30-00411,2026-04-12,Customer Karthik Reddy reported: Loud grinding noise coming from internal fan.,Replaced noisy fan assembly.,,Unusual Noise
RET-00412,Model-B200,SN-B20-00412,2026-02-21,App crashes repeatedly on startup.,Reflashed firmware to latest stable version.,software_crash,Software Crash
RET-00413,Model-C300,SN-C30-00413,2025-08-13,Unit repeatedly disconnects from WiFi network.,Reseated antenna connector.,connectivity_issue,Connectivity Issue
RET-00414,Model-C300,SN-C30-00414,2026-01-13,Customer Ananya Iyer reported: Battery percentage drops from 100 to 0 in minutes.,Replaced charging circuit board.,battery_drain,Battery Drain
RET-00415,Model-A100,SN-A10-00415,2025-09-09,Loud grinding noise coming from internal fan.,Replaced coil on power board causing whine.,unusual_noise,Unusual Noise
RET-00416,Model-B200,SN-B20-00416,2026-05-26,"Customer reports unit was dropped, casing damaged.",Replaced latch mechanism.,,Physical Damage
RET-00417,Model-A100,SN-A10-00417,2026-06-25,Loud grinding noise coming from internal fan. Contact: +91-98765-43210.,Replaced coil on power board causing whine.,unusual_noise,Unusual Noise
RET-00418,Model-A100,SN-A10-00418,2025-11-15,Unit stuck in boot loop after last update.,Rolled back faulty software update.,,Software Crash
RET-00419,Model-B200,SN-B20-00419,2026-06-20,Customer Karthik Reddy reported: App crashes repeatedly on startup.,Factory reset resolved the crashing issue.,,Software Crash
RET-00420,Model-A100,SN-A10-00420,2026-01-13,"Housing cracked near hinge, likely from a drop.",Replaced broken hinge assembly.,,Physical Damage
RET-00421,Model-A100,SN-A10-00421,2026-03-29,Unit does not power on at all. Reach out at vikram.rao99@example.in for follow-up.,Replaced fuse on main board.,no_power,No Power
RET-00422,Model-C300,SN-C30-00422,2026-06-01,Screen shows vertical lines across display.,Reseated display ribbon cable.,display_fault,Display Fault
RET-00423,Model-B200,SN-B20-00423,2026-05-08,Customer reports intermittent loss of network signal.,Replaced WiFi/Bluetooth module.,,Connectivity Issue
RET-00424,Model-C300,SN-C30-00424,2026-07-17,Customer reports burning smell and excessive heat near vents.,"Replaced temperature sensor, false trips resolved.",overheating,Overheating
RET-00425,Model-C300,SN-C30-00425,2025-11-20,Thermal shutdown triggered repeatedly under light load. Reach out at rahul.sharma@example.com for follow-up.,Replaced faulty cooling fan.,overheating,Overheating
RET-00426,Model-B200,SN-B20-00426,2026-03-21,Device gets very hot to touch during normal use.,Replaced thermal paste on main processor.,overheating,Overheating
RET-00427,Model-A100,SN-A10-00427,2026-07-09,Customer reports battery does not hold charge overnight.,Updated firmware to fix power management bug.,battery_drain,Battery Drain
RET-00428,Model-A100,SN-A10-00428,2026-04-09,Unit stuck in boot loop after last update.,Reflashed firmware to latest stable version.,,Software Crash
RET-00429,Model-B200,SN-B20-00429,2026-06-22,"Fan not spinning, unit overheating quickly.",Cleaned dust from heat sink and fan assembly.,,Overheating
RET-00430,Model-A100,SN-A10-00430,2026-06-27,Customer reports random restarts several times a day.,Factory reset resolved the crashing issue.,software_crash,Software Crash
RET-00431,Model-A100,SN-A10-00431,2026-07-28,Rattling noise when device is moved.,Replaced noisy fan assembly.,,Unusual Noise
RET-00432,Model-C300,SN-C30-00432,2025-12-07,Battery percentage drops from 100 to 0 in minutes.,Replaced charging circuit board.,,Battery Drain
RET-00433,Model-A100,SN-A10-00433,2026-05-16,Battery drains fully within 2 hours of light use. Reach out at priya.n@mail.com for follow-up.,Updated firmware to fix power management bug.,,Battery Drain
RET-00434,Model-C300,SN-C30-00434,2026-02-11,Unit does not power on at all.,Replaced fuse on main board.,,No Power
RET-00435,Model-A100,SN-A10-00435,2025-11-03,Device loses charge rapidly even in standby mode.,Updated firmware to fix power management bug.,battery_drain,Battery Drain
RET-00436,Model-A100,SN-A10-00436,2026-06-15,Unit repeatedly disconnects from WiFi network.,Replaced WiFi/Bluetooth module.,,Connectivity Issue
RET-00437,Model-C300,SN-C30-00437,2025-12-10,"Customer Ananya Iyer reported: Housing cracked near hinge, likely from a drop.",Replaced latch mechanism.,physical_damage,Physical Damage
RET-00438,Model-C300,SN-C30-00438,2025-12-22,"Device completely dead, no response to power button.","Replaced battery, unit powers on normally now.",,No Power
RET-00439,Model-B200,SN-B20-00439,2026-02-20,"Customer reports unit was dropped, casing damaged.",Replaced broken hinge assembly.,,Physical Damage
RET-00440,Model-A100,SN-A10-00440,2026-05-14,Device gets very hot to touch during normal use.,Replaced thermal paste on main processor.,overheating,Overheating
RET-00441,Model-A100,SN-A10-00441,2026-04-17,"Customer reports unit was dropped, casing damaged.",Replaced broken hinge assembly.,,Physical Damage
RET-00442,Model-A100,SN-A10-00442,2025-08-15,Touchscreen not responding in bottom half of screen.,Replaced display panel assembly.,,Display Fault
RET-00443,Model-A100,SN-A10-00443,2025-08-02,Unit overheats and shuts down after 20 minutes of operation.,Replaced faulty cooling fan.,overheating,Overheating
RET-00444,Model-B200,SN-B20-00444,2026-05-04,Unit repeatedly disconnects from WiFi network.,Updated network driver firmware.,,Connectivity Issue
RET-00445,Model-C300,SN-C30-00445,2026-06-14,Customer reports battery does not hold charge overnight.,"Replaced battery cell, capacity restored.",battery_drain,Battery Drain
RET-00446,Model-A100,SN-A10-00446,2026-04-10,"Device completely dead, no response to power button.","Replaced battery, unit powers on normally now.",no_power,No Power
RET-00447,Model-C300,SN-C30-00447,2025-10-07,"Fan not spinning, unit overheating quickly.",Replaced faulty cooling fan.,overheating,Overheating
RET-00448,Model-A100,SN-A10-00448,2025-09-05,Customer reports battery does not hold charge overnight. Contact: +91-98765-43210.,"Replaced battery cell, capacity restored.",battery_drain,Battery Drain
RET-00449,Model-B200,SN-B20-00449,2026-05-07,"Dead on arrival, no boot, no lights.",Replaced fuse on main board.,no_power,No Power
RET-00450,Model-A100,SN-A10-00450,2025-08-17,Customer reports random restarts several times a day.,Reflashed firmware to latest stable version.,,Software Crash
